Player_initial_last,tournament id,player id,DK_Hole_FP,DK_Streak_Bonus_FP,FD_Hole_FP,FD_Streak_Bonus_FP,player,tournament name,date,season,final position,DK_Finish_FP,FD_Finish_FP,DK_Total_FP,FD_Total_FP,major,made_cut,course,Finish,Score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
A. Cook,3742,9517,69,0,62.4,30.4,Austin Cook,Sentry Tournament of Champions,1/7/2018,2018,22,4,3,73,95.8,0,1,"Kapalua Resort, Kapalua, Maui, HI",T22,-4,-0.08,-0.31,-0.04,-0.35,-0.7,-0.78
A. Cook,3743,9517,67,6,65.9,17.5,Austin Cook,CareerBuilder Challenge,1/21/2018,2018,NA,0,0,73,83.4,0,0,"PGA West - La Quinta, CA",NA,NA,NA,NA,NA,NA,NA,NA
A. Cook,3744,9517,70,0,66.3,23.6,Austin Cook,Waste Management Phoenix Open,2/4/2018,2018,31,2,1,72,90.9,0,1,"TPC Scottsdale - Scottsdale, AZ",T31,-7,0.4,0.18,0.11,0.32,0.61,1.01
A. Cook,3745,9517,35.5,0,27,30.2,Austin Cook,AT&T Pebble Beach Pro-Am,2/11/2018,2018,NA,0,0,35.5,57.2,0,0,"Pebble Beach - Pebble Beach, CA",CUT,6,0.9,0.69,-3.05,0.77,-1.59,-0.69
A. Cook,3748,9517,65,3,53.9,22.2,Austin Cook,Genesis Open,2/18/2018,2018,49,1,0,69,76.1,0,1,"Riviera - Pacific Palisades, CA",T49,1,0.82,-0.02,-0.41,-0.06,-0.49,0.33
A. Cook,3750,9517,60.5,3,55.4,17,Austin Cook,Arnold Palmer Invitational Pres. by Mastercard,3/18/2018,2018,36,2,1,65.5,73.4,0,1,"Bay Hill - Orlando, FL",T36,-3,0.83,-0.01,-0.24,0.17,-0.08,0.74
A. Cook,3763,9517,66.5,3,62.2,11,Austin Cook,Sanderson Farms Championship,10/29/2017,2018,25,4,3,73.5,76.2,0,1,"Country Club of Jackson - Jackson, MS",T25,-5,0.46,0.41,-0.67,0.96,0.7,1.16
A. Cook,3768,9517,62.5,3,56,10.8,Austin Cook,Shriners Hospital for Children Open,11/5/2017,2018,20,5,4,70.5,70.8,0,1,"TPC Summerlin - Las Vegas, NV",T20,-3,1.25,0.78,-0.55,-0.26,-0.03,1.22
A. Cook,3771,9517,55.5,3,48.9,1.5,Austin Cook,Valspar Championship,3/11/2018,2018,40,2,1,60.5,51.4,0,1,"Innisbrook - Palm Harbor, FL",T40,E,0.34,0.01,0.39,-0.03,0.37,0.71
A. Cook,3776,9517,60.5,3,55.4,16.4,Austin Cook,OHL Classic at Mayakoba,11/12/2017,2018,50,1,0,64.5,71.8,0,1,"El Camaleon - Playa del Carmen, Mexico",NA,NA,NA,NA,NA,NA,NA,NA
A. Cook,3781,9517,91.5,14,92.8,21.2,Austin Cook,The RSM Classic,11/19/2017,2018,1,30,30,135.5,144,0,1,"Sea Island - Sea Island, GA",1,-21,1.13,0.77,1.52,0.77,3.06,4.18
A. Cook,401025221,9517,15.5,0,8.5,10,Austin Cook,Masters Tournament,4/8/2018,2018,NA,0,0,15.5,18.5,1,0,"Augusta National - Augusta, GA",NA,NA,NA,NA,NA,NA,NA,NA
A. Cook,401025246,9517,52,3,48.5,6.5,Austin Cook,RBC Heritage,4/15/2018,2018,50,1,0,56,55,0,1,"Harbour Town - Hilton Head, SC",T50,-1,-1.28,1.48,-1.01,0.89,1.36,0.08
A. Cook,401025247,9517,62,3,56.5,11.1,Austin Cook,Valero Texas Open,4/22/2018,2018,30,3,2,68,69.6,0,1,"TPC San Antonio - San Antonio, TX",T30,-3,0.82,-0.15,-0.49,0.73,0.09,0.91
A. Cook,401025249,9517,56.5,3,49.3,17.4,Austin Cook,Wells Fargo Championship,5/6/2018,2018,34,2,1,61.5,67.7,0,1,"Quail Hollow - Charlotte, NC",T34,E,0.35,0.53,-0.35,0.38,0.57,0.92
A. Cook,401025250,9517,70,0,63.9,30.4,Austin Cook,The Players Championship,5/13/2018,2018,46,1,0,71,94.3,0,1,"TPC Sawgrass - Ponte Vedra Beach, FL",T46,-5,1.31,-0.7,0.79,-0.87,-0.78,0.52
A. Cook,401025252,9517,23,0,18.5,0.6,Austin Cook,Fort Worth Invitational,5/27/2018,2018,NA,0,0,23,19.1,0,0,"Colonial - Ft. Worth, TX",NA,NA,NA,NA,NA,NA,NA,NA
A. Cook,401025253,9517,20,0,16.4,0.6,Austin Cook,The Memorial Tournament pres. by Nationwide,6/3/2018,2018,NA,0,0,20,17,0,0,"Muirfield Village - Dublin, OH",CUT,4,-1.41,-0.74,-0.63,0.28,-1.09,-2.49
A. Cook,401025254,9517,65.5,9,63,10.7,Austin Cook,FedEx St. Jude Classic,6/10/2018,2018,6,12,12,86.5,85.7,0,1,"TPC Southwind, Memphis, TN",T6,-7,0.75,0.18,0.65,0.61,1.44,2.2
A. Cook,401025256,9517,28.5,0,25.6,10.6,Austin Cook,Travelers Championship,6/24/2018,2018,NA,0,0,28.5,36.2,0,0,"TPC River Highlands - Cromwell, CT",CUT,1,0.33,0.57,-1.33,-0.19,-0.95,-0.62
A. Cook,401025258,9517,78.5,11,75.5,16.9,Austin Cook,John Deere Classic,7/15/2018,2018,34,2,1,91.5,93.4,0,1,"TPC Deere Run - Silvis, IL",T34,-11,-0.62,0.62,1.1,-0.16,1.55,0.94
A. Cook,401025259,9517,56.5,3,49.3,12.1,Austin Cook,The Open,7/22/2018,2018,28,3,2,62.5,63.4,1,1,"Carnoustie Golf Club, Carnoustie, Scotland",NA,NA,NA,NA,NA,NA,NA,NA
A. Cook,401025261,9517,57,0,45.1,11.2,Austin Cook,WGC-Bridgestone Invitational,8/5/2018,2018,53,0,0,57,56.3,0,1,"Firestone - Akron, OH",T53,3,0.12,0.51,-0.31,-1.16,-0.97,-0.85
A. Cook,401025263,9517,57.5,3,53.3,6.4,Austin Cook,PGA Championship,8/12/2018,2018,50,1,0,61.5,59.7,1,1,"Bellrive - St. Louis, MO",T50,-2,-0.54,0.45,0.23,0.31,0.99,0.45
A. Cook,401025265,9517,62.5,3,56.1,21,Austin Cook,The Northern Trust,8/26/2018,2018,60,0,0,65.5,77.1,0,1,"Ridgewood - Paramus, NJ",T60,-1,0.53,-0.29,-0.03,-0.56,-0.88,-0.36
A. Cook,401025266,9517,64.5,0,56.7,19.8,Austin Cook,Dell Technologies Championship,9/3/2018,2018,62,0,0,64.5,76.5,0,1,"TPC Boston - Norton, MA",T62,-1,-0.08,0.04,-0.04,-0.58,-0.58,-0.65
A. Cook,401025267,9517,76,6,73,20.7,Austin Cook,BMW Championship,9/10/2018,2018,29,3,2,85,95.7,0,1,"Aronimink Golf Club - Newton Square, PA",T29,-10,0.45,-0.5,0.2,0.24,-0.07,0.38
