Player,SlatePlayerID,Ownership,Sample,%:,Cut,Top 20,Top 5,Win,DK:,SD,Salary,Finish Pts,Scoring Pts,Points,Value,FD:,SD,Salary,Finish Pts,Scoring Pts,Points,Value
Jordan Spieth,13008774,9.38,150,,1,0.2934,0.058525,0.009025,,17.18081558,8600,4.17244,59.737272,63.91,-2.14,,20.20460072,10100,2.90734,56.4336408,59.34,-1.99
Jim Furyk,13008803,9.38,150,,1,0.31425,0.06045,0.009375,,16.79057698,7000,4.380236,59.347128,63.73,2.23,,19.79540484,8000,3.077248,56.4882764,59.57,2.67
Andrew Putnam,13008786,9.38,150,,1,0.2632,0.048175,0.008375,,16.73497387,7800,3.88338,59.43519,63.32,-0.31,,19.92256149,8900,2.63288,55.8697576,58.5,-0.34
Bubba Watson,13008800,9.38,150,,1,0.281225,0.05515,0.008175,,16.35125298,7100,3.89072,58.41599,62.31,0.94,,19.61710557,8200,2.716824,55.0310952,57.75,1.09
Danny Willett,13008790,9.38,150,,1,0.2476,0.044475,0.007375,,16.73512543,7600,3.727064,58.70187,62.43,-0.38,,20.03705887,8800,2.54508,54.9625348,57.51,-0.48
Ian Poulter,13008795,9.38,150,,1,0.26815,0.05035,0.0077,,16.58230885,7400,3.823604,58.068196,61.89,-0.2,,19.52744947,8500,2.589068,54.4329792,57.02,-0.27
Thorbjorn Olesen,13008809,9.38,150,,1,0.245025,0.042925,0.006075,,16.72473411,6700,3.63072,58.334356,61.97,1.82,,19.94819884,8200,2.429796,54.451018,56.88,1.6
Keith Mitchell,13008812,9.38,150,,1,0.21765,0.0379,0.005125,,16.59070107,6500,3.319252,58.406678,61.73,2.21,,19.83829919,7600,2.212556,53.9785296,56.19,1.67
Brandt Snedeker,13008794,9.38,150,,1,0.243825,0.042875,0.0054,,16.54961672,7400,3.69616,58.013856,61.71,-0.33,,19.78144341,8700,2.52962,54.2831128,56.81,-0.42
Eddie Pepperell,13008799,9.38,150,,1,0.23305,0.0387,0.00595,,16.30000931,7200,3.45286,58.020258,61.47,0.06,,19.68892404,8300,2.320532,53.9544352,56.27,-0.24
Cameron Smith,13008801,9.38,150,,1,0.20735,0.032625,0.004225,,16.29188989,7100,3.31786,57.05246,60.37,-0.44,,19.64893663,8400,2.233264,52.806614,55.04,-0.84
Kevin Kisner,13008798,9.38,150,,1,0.236675,0.03955,0.005325,,16.10688218,7200,3.33848,56.867542,60.21,-0.83,,19.41816791,8600,2.25668,52.7858956,55.04,-1.12
Alex Noren,13008796,9.38,150,,1,0.2216,0.036375,0.00545,,16.08328687,7300,3.360096,56.811176,60.17,-1.14,,19.47828127,8400,2.222836,52.8036052,55.03,-1.41
Max Homa,13008814,9.38,150,,1,0.189475,0.03055,0.004675,,16.37156462,6400,3.139928,57.148568,60.29,1.47,,19.65890488,7300,2.073172,52.5244352,54.6,0.82
Matthew Wolff,13008793,9.38,17,,1,0.185675,0.029375,0.0044,,16.00001368,7500,2.994684,56.922324,59.92,-1.88,,19.35686162,8500,1.971816,52.251408,54.22,-2.54
Kevin Na,13008806,9.38,150,,1,0.215825,0.033825,0.005075,,15.83664594,6800,3.218436,56.512488,59.73,-0.05,,19.19975763,8100,2.145396,52.3535828,54.5,-0.38
Sung Kang,13008815,9.38,150,,1,0.184025,0.027525,0.0037,,16.18755981,6400,2.973196,56.788266,59.76,1.09,,19.56454306,7500,1.954276,52.0634996,54.02,0.41
Kevin Tway,13008808,9.38,150,,1,0.2061,0.032225,0.004225,,15.98808543,6700,3.271856,56.175468,59.45,0.03,,19.16379382,7900,2.14154,52.010548,54.15,-0.35
Justin Harding,13008811,9.38,116,,1,0.1788,0.0259,0.0037,,15.74243003,6600,2.89958,56.141848,59.04,0.02,,19.1883991,7800,1.887144,51.413238,53.3,-0.67
Nate Lashley,13008813,9.38,150,,1,0.1875,0.02815,0.003625,,15.54231435,6500,3.027036,56.041498,59.07,0.32,,18.75946725,7700,1.9538,51.6169392,53.57,-0.2
Corey Conners,13008816,9.38,150,,1,0.1897,0.026425,0.00325,,15.50443794,6300,3.013392,55.554426,58.57,0.53,,18.76279517,7400,1.979708,51.128796,53.11,0.04
Phil Mickelson,13008797,9.38,150,,1,0.1559,0.021525,0.00265,,15.58428324,7300,2.647468,54.780448,57.43,-3.09,,18.97594677,9100,1.66492,49.6742028,51.34,-4.03
Lucas Bjerregaard,13008804,9.38,150,,1,0.150325,0.019825,0.002375,,15.15423173,6900,2.501792,54.610306,57.11,-2.2,,18.54940267,7900,1.553952,49.4222072,50.98,-3.16
J.B. Holmes,13008802,9.38,150,,1,0.145675,0.01915,0.002175,,15.36450351,7000,2.432824,54.465786,56.9,-2.63,,18.79116003,8000,1.492084,49.10164,50.59,-3.72
C.T. Pan,13008807,9.38,150,,1,0.164325,0.0222,0.002775,,14.9169041,6800,2.598588,54.108118,56.71,-2.2,,18.21358638,7600,1.640992,49.1648084,50.81,-3
Adam Long,13008817,9.38,150,,1,0.1347,0.01615,0.001975,,14.93941093,6300,2.404792,53.903304,56.31,-1.08,,18.38396767,7200,1.47372,48.6620812,50.14,-2.07
Aaron Rai,13008821,9.38,150,,1,0.0736,0.0069,0.000525,,13.43008901,6100,1.617108,49.657274,51.27,-4.1,,16.78646584,7000,0.875272,43.1334172,44.01,-5.87
Shugo Imahira,13008818,9.38,30,,1,0.034225,0.002475,0.000175,,13.09578643,6200,0.97268,46.675146,47.65,-6.96,,16.49064453,7100,0.441876,38.2753376,38.72,-9.92
Poom Saksansin,13008819,9.38,54,,1,0.0303,0.002075,0.00025,,12.70569678,6200,0.896052,46.070468,46.97,-7.44,,16.10985403,7000,0.384968,37.6347768,38.02,-10.42
Philip Eriksson,13008823,9.38,14,,1,0.0187,0.00095,0,,12.54214484,6000,0.69982,44.819094,45.52,-7.91,,15.9919984,7000,0.277336,35.545422,35.82,-11.42
Mikumu Horikawa,13008820,9.38,4,,1,0.01715,0.001175,0.0001,,12.22637327,6100,0.649384,44.693358,45.34,-8.32,,15.46171884,7000,0.249992,35.200984,35.45,-11.96
Kodai Ichihara,13008822,9.38,14,,1,0.00475,0.000175,0.00005,,11.61422611,6000,0.292892,39.481352,39.77,-12,,14.95369716,7000,0.088604,28.0429328,28.13,-16.89
