Player,SlatePlayerID,Ownership,Sample,%:,Cut,Top 20,Top 5,Win,DK:,SD,Salary,Finish Pts,Scoring Pts,Points,Value,FD:,SD,Salary,Finish Pts,Scoring Pts,Points,Value
Jordan Spieth,13026449,7.55,150,,1,0.298325,0.060575,0.010325,,17.18081558,8500,0,38.15125,38.15,-2.86,,20.20460072,10100,2.90734,56.4336408,59.34,-2.24
Jim Furyk,13026470,9.73,150,,1,0.3159,0.0618,0.0097,,16.79057698,7300,0,37.82868,37.83,0.25,,19.79540484,8000,3.077248,56.4882764,59.57,1.29
Andrew Putnam,13026461,7.09,150,,1,0.26705,0.049675,0.007875,,16.73497387,7700,0,37.773485,37.77,-1.18,,19.92256149,8900,2.63288,55.8697576,58.5,-0.59
Danny Willett,13026472,9.27,150,,1,0.25445,0.044575,0.0066,,16.73512543,7300,0,37.69537,37.7,0.11,,20.03705887,8800,2.54508,54.9625348,57.51,-0.17
Ian Poulter,13026467,4.73,150,,1,0.276225,0.050325,0.00805,,16.58230885,7400,0,38.075015,38.08,0.13,,19.52744947,8500,2.589068,54.4329792,57.02,-0.8
Thorbjorn Olesen,13026482,4.46,150,,1,0.253575,0.0447,0.00665,,16.72473411,6800,0,37.830975,37.83,2.29,,19.94819884,8200,2.429796,54.451018,56.88,0.78
Keith Mitchell,13026487,9,150,,1,0.226725,0.0393,0.0054,,16.59070107,6500,0,36.787285,36.79,2.64,,19.83829919,7600,2.212556,53.9785296,56.19,1.13
Brandt Snedeker,13026466,10.09,150,,1,0.25155,0.04375,0.0057,,16.54961672,7500,0,37.362145,37.36,-0.93,,19.78144341,8700,2.52962,54.2831128,56.81,-1.23
Cameron Smith,13026475,4.27,150,,1,0.21655,0.036025,0.00495,,16.29188989,7100,0,37.073685,37.07,0.26,,19.64893663,8400,2.233264,52.806614,55.04,-1.37
Kevin Kisner,13026469,9.55,150,,1,0.244075,0.03965,0.00565,,16.10688218,7400,0,36.784285,36.78,-1.16,,19.41816791,8600,2.25668,52.7858956,55.04,-2.21
Alex Noren,13026478,4.46,150,,1,0.229575,0.0365,0.004425,,16.08328687,7000,0,37.282625,37.28,0.88,,19.47828127,8400,2.222836,52.8036052,55.03,-1.1
Max Homa,13026488,9,150,,1,0.1936,0.0307,0.004375,,16.37156462,6500,0,35.82825,35.83,1.68,,19.65890488,7300,2.073172,52.5244352,54.6,0
Matthew Wolff,13026459,10.27,17,,1,0.202725,0.031825,0.00435,,16.00001368,7800,0,36.12978,36.13,-3.13,,19.35686162,8500,1.971816,52.251408,54.22,-3.92
Kevin Na,13026483,2.36,150,,1,0.2211,0.0344,0.004875,,15.83664594,6700,0,36.858515,36.86,1.77,,19.19975763,8100,2.145396,52.3535828,54.5,-0.63
Sung Kang,13026490,1.27,150,,1,0.18475,0.028925,0.00355,,16.18755981,6400,0,36.142595,36.14,2.49,,19.56454306,7500,1.954276,52.0634996,54.02,-0.13
Kevin Tway,13026485,3.91,150,,1,0.2166,0.03305,0.004525,,15.98808543,6600,0,35.945175,35.95,1.32,,19.16379382,7900,2.14154,52.010548,54.15,-0.6
Justin Harding,13026481,6.36,116,,1,0.18325,0.027575,0.003475,,15.74243003,6800,0,36.10024,36.1,0.56,,19.1883991,7800,1.887144,51.413238,53.3,-1.76
Nate Lashley,13026473,6.18,150,,1,0.1964,0.028175,0.003825,,15.54231435,7200,0,36.61953,36.62,-0.58,,18.75946725,7700,1.9538,51.6169392,53.57,-2.7
Corey Conners,13026489,11.91,150,,1,0.196575,0.029375,0.004025,,15.50443794,6400,0,36.453,36.45,2.8,,18.76279517,7400,1.979708,51.128796,53.11,-0.78
Lucas Bjerregaard,13026480,5.82,150,,1,0.1521,0.020625,0.002725,,15.15423173,6900,0,35.613395,35.61,-0.37,,18.54940267,7900,1.553952,49.4222072,50.98,-3.7
J.B. Holmes,13026479,2.73,150,,1,0.1461,0.019375,0.00265,,15.36450351,6900,0,34.67678,34.68,-1.3,,18.79116003,8000,1.492084,49.10164,50.59,-3.97
C.T. Pan,13026484,3.46,150,,1,0.172475,0.02265,0.0022,,14.9169041,6700,0,35.37336,35.37,0.28,,18.21358638,7600,1.640992,49.1648084,50.81,-3.25
Adam Long,13026491,1.82,150,,1,0.141025,0.0176,0.00215,,14.93941093,6300,0,34.75314,34.75,1.61,,18.38396767,7200,1.47372,48.6620812,50.14,-2.61
Aaron Rai,13026494,1.55,150,,1,0.07645,0.00725,0.000725,,13.43008901,6200,0,33.035015,33.04,0.41,,16.78646584,7000,0.875272,43.1334172,44.01,-6.69
Shugo Imahira,13026492,1.45,30,,1,0.034125,0.0024,0.0001,,13.09578643,6300,0,31.748875,31.75,-1.4,,16.49064453,7100,0.441876,38.2753376,38.72,-10.73
Poom Saksansin,13026493,0.09,54,,1,0.03285,0.002025,0.0001,,12.70569678,6200,0,30.85892,30.86,-1.76,,16.10985403,7000,0.384968,37.6347768,38.02,-10.95
Philip Eriksson,13026497,0.09,14,,1,0.02035,0.001125,0.00005,,12.54214484,6000,0,29.09505,29.1,-2.44,,15.9919984,7000,0.277336,35.545422,35.82,-11.95
Mikumu Horikawa,13026495,0.09,4,,1,0.018775,0.000825,0.000025,,12.22637327,6100,0,27.848185,27.85,-4.24,,15.46171884,7000,0.249992,35.200984,35.45,-12.5
Kodai Ichihara,13026496,0.91,14,,1,0.004275,0.0001,0.000025,,11.61422611,6100,0,26.576355,26.58,-5.51,,14.95369716,7000,0.088604,28.0429328,28.13,-17.7
